"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="020032","元大綠能N","市","04/10","","6.37","+0.01","+0.16","50","0.32","6.36","6.36","6.41","6.36","0.79","","","    ","    ","    ","    ","    "
="020034","元大IC設計N","市","04/10","","8.09","+0.11","+1.38","47","0.38","7.98","8.06","8.1","8.04","0.75","","","    ","    ","    ","    ","    "
="020036","元大金融配息N","市","04/10","","5.85","0","0","0","0","5.79","5.85","5.85","5.85","0","","","    ","    ","    ","    ","    "
="020037","元大金融高股息N","市","04/10","","6","-0.01","-0.17","64","0.39","6.01","6.02","6.02","6","0.33","","","    ","    ","    ","    ","    "
="020038","元大ESG配息N","市","04/10","","7.24","+0.07","+0.98","113","0.82","7.17","7.23","7.3","7.21","1.26","","","    ","    ","    ","    ","    "
="020039","元大加權N","市","04/10","","6.23","-0.01","-0.16","96","0.6","6.24","6.24","6.25","6.22","0.48","","","    ","    ","    ","    ","    "
="1101","台泥","市","04/10","","32.7","+0.25","+0.77","23,247","762","32.45","32.5","32.95","32.45","1.54","30.8","1.09","    ","    ","    ","    ","    "
"1101B","台泥乙特","市","04/10","","48.65","+0.15","+0.31","13","0.63","48.5","48.3","48.65","48.3","0.72","","","    ","    ","    ","    ","    "
="1102","亞泥","市","04/10","","42.5","+0.5","+1.19","5,702","242","42","42.1","42.65","42.1","1.31","13","0.89","    ","    ","    ","    ","    "
="1103","嘉泥","市","04/10","","17.85","+0.2","+1.13","573","10.2","17.65","17.65","18","17.65","1.98","149","0.54","    ","    ","    ","    ","    "
="1104","環泥","市","04/10","","32.95","-0.5","-1.49","2,484","81.8","33.45","33.2","33.2","32.7","1.49","10.5","1.01","    ","    ","    ","    ","    "
="1108","幸福","市","04/10","","16.5","+0.05","+0.3","2,238","37.1","16.45","16.6","16.65","16.45","1.22","12.7","1.32","    ","    ","    ","    ","    "
="1109","信大","市","04/10","","20","+0.25","+1.27","1,259","25.2","19.75","19.85","20.15","19.75","2.03","9.95","0.84","    ","    ","    ","    ","    "
="1110","東泥","市","04/10","","18.35","-0.05","-0.27","115","2.13","18.4","18.5","18.6","18.3","1.63","70.6","1.17","    ","    ","    ","    ","    "
="1201","味全","市","04/10","","19","+0.1","+0.53","133","2.53","18.9","18.9","19","18.9","0.53","35.8","1.32","    ","    ","    ","    ","    "
="1203","味王","市","04/10","","49.85","0","0","18","0.87","49.85","49.85","49.9","49.5","0.8","27.7","2.05","    ","    ","    ","    ","    "
="1210","大成","市","04/10","","58","0","0","1,659","96.4","58","58.1","58.3","57.8","0.86","12.1","2.07","    ","    ","    ","    ","    "
="1213","大飲","市","04/10","","7.12","-0.07","-0.97","30","0.22","7.19","7.2","7.21","7.12","1.25","","1.78","    ","    ","    ","    ","    "
="1215","卜蜂","市","04/10","","109.5","-1","-0.9","260","28.6","110.5","110.5","111","109.5","1.36","14.2","3.31","    ","    ","    ","    ","    "
="1216","統一","市","04/10","","76.4","-0.1","-0.13","5,120","392","76.5","76.1","76.7","76.1","0.78","23.7","3.48","    ","    ","    ","    ","    "
="1217","愛之味","市","04/10","","12","+0.05","+0.42","671","8.04","11.95","11.95","12.05","11.95","0.84","29.3","0.87","    ","    ","    ","    ","    "
="1218","泰山","市","04/10","","21.8","-0.2","-0.91","922","20.3","22","22.1","22.2","21.75","2.05","","0.88","    ","    ","    ","    ","    "
